TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
22103040203,Louisiana,St. Tammany,3919,80.16101412738429,Relatively Moderate,167096.910638139,0.0,745.9329461871271,99.96971309852523,Relatively Moderate,0.415
22103040204,Louisiana,St. Tammany,6321,94.89606621319507,Relatively High,363008.6656102781,0.0,782.6012309195999,99.96972654333437,Relatively Moderate,0.4018
22103040205,Louisiana,St. Tammany,4456,88.97635922561005,Relatively High,264885.4435638,0.0,677.4962784314013,99.96972671883627,Relatively Moderate,0.3585
22103040206,Louisiana,St. Tammany,2551,66.36540931360891,Relatively Moderate,178734.90938193182,0.0,755.4991523163161,99.96972021967484,Relatively Moderate,0.0132
22103040304,Louisiana,St. Tammany,6732,97.61808495457356,Very High,802270.2792907465,561979.3876769992,249.43952125727193,99.9698212808101,Very High,0.0975
22103040306,Louisiana,St. Tammany,5992,97.5847880892356,Very High,762984.3263474789,19505.92633755288,99.31461068596708,99.96979326309089,Very High,0.382
22103040307,Louisiana,St. Tammany,4175,96.3753983732103,Relatively High,647994.3346289992,346439.9983213114,208.94969822020056,99.96984825786515,Very High,0.1034
22103040308,Louisiana,St. Tammany,6900,97.71916472434953,Very High,611855.8888937719,190914.1790827965,1677.2233246844746,99.96976322368141,Relatively High,0.1635
22103040309,Louisiana,St. Tammany,11328,91.79589021547827,Relatively High,814741.4226278017,522621.5788765631,1988.8917868171632,99.96975238205651,Relatively High,0.0095
22103040401,Louisiana,St. Tammany,8021,97.45397897540788,Very High,695110.0250956848,0.0,939.001763691942,99.96973925787007,Relatively Moderate,0.1488
22103040402,Louisiana,St. Tammany,2753,82.67017076535224,Relatively Moderate,212906.790667242,0.0,76.54468653726559,99.96973489509783,Relatively Moderate,0.2038
22103040501,Louisiana,St. Tammany,4035,97.69894877039434,Very High,431737.8467653232,0.0,159.7496871247237,99.96981052826166,Very High,0.9282
22103040502,Louisiana,St. Tammany,4330,89.44489368786566,Relatively High,196178.7026806011,0.0,183.95958366148284,99.96971208889914,Relatively Moderate,0.3006
22103040601,Louisiana,St. Tammany,4259,98.0628359415878,Very High,859847.434337047,234730.69209883176,597.4647746387899,99.96989476122846,Very High,0.2933
22103040602,Louisiana,St. Tammany,2618,93.9554297673976,Relatively High,337635.87794198055,0.0,89.73671329582538,99.96979262696625,Very High,0.3922
22103040606,Louisiana,St. Tammany,4408,82.04585454026542,Relatively Moderate,199829.52736460316,0.0,69.90324384241607,99.96970739473416,Relatively Low,0.1452
22103040607,Louisiana,St. Tammany,3968,83.80583170812919,Relatively Moderate,393626.13620840636,378349.0191975728,221.51591662522688,99.96980418481726,Very High,0.0117
22103040608,Louisiana,St. Tammany,3248,89.56262189031061,Relatively High,217976.69905210572,0.0,96.92280801863392,99.96974784668836,Relatively High,0.676
22103040609,Louisiana,St. Tammany,5053,96.38134424202065,Relatively High,635366.7178658899,0.0,177.2266642658395,99.96979451233379,Very High,0.4501
22103040705,Louisiana,St. Tammany,7133,96.91290491366598,Relatively High,443215.3247233597,0.0,100.09663251562922,99.96973868658753,Relatively Moderate,0.5894
22103040706,Louisiana,St. Tammany,6047,94.50007135042573,Relatively High,403386.0812454875,0.0,729.517184072058,99.96973875702896,Relatively Moderate,0.4809
22103040708,Louisiana,St. Tammany,6171,96.88555391713837,Relatively High,616424.0649704792,399044.9915980782,1291.7907350630892,99.96980832911736,Very High,0.2331
22103040709,Louisiana,St. Tammany,4195,93.81391808971127,Relatively High,387597.0691788466,0.0,38.19919848651765,99.96976192959613,Relatively High,0.4457
22103040710,Louisiana,St. Tammany,5728,94.25747990296342,Relatively High,585087.5302371263,131.31987647482285,86.53713638238823,99.96974460998891,Relatively High,0.0535
22103040711,Louisiana,St. Tammany,3960,79.60923750178374,Relatively Moderate,198196.03049050455,0.0,22.584216692411584,99.96972332158653,Relatively Moderate,0.5139
22103040712,Louisiana,St. Tammany,4786,93.18246682205204,Relatively High,384138.65689515846,0.0,2556.951782587017,99.96974385087192,Relatively High,0.3226
22103040713,Louisiana,St. Tammany,4210,96.8082576226038,Relatively High,272444.4302691469,0.0,136.85655187503792,99.96974193634897,Relatively High,0.6012
22103040714,Louisiana,St. Tammany,1928,63.71711934547876,Relatively Moderate,73791.22004368373,0.0,51.12097791844552,99.96971115485698,Relatively Moderate,0.5037
22103040801,Louisiana,St. Tammany,4901,99.54216810160301,Very High,406891.41439704975,0.0,42.68058145106573,99.96976698934694,Relatively High,0.7001
22103040804,Louisiana,St. Tammany,2691,94.06959044855634,Relatively High,248276.1434357199,210291.58214953475,23.295463989013204,99.96979568365686,Very High,0.0806
